1--CompilationUnit,11--Import
11--Import,1194215--java.io
11--Import,1165424--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1236211--ON_23
12--ClassDeclaration,1298711--MethodDeclaration
1298711--MethodDeclaration,129871128993--set
129871128993--set,1298711289934575--static
1298711--MethodDeclaration,129871138265--reverseArray
1298711--MethodDeclaration,129871185133--FormalParameter
129871185133--FormalParameter,12987118513389297--BasicType
12987118513389297--BasicType,1298711851338929726215--int
129871185133--FormalParameter,12987118513346396--arr
1298711--MethodDeclaration,129871167326--FormalParameter
129871167326--FormalParameter,12987116732667255--BasicType
12987116732667255--BasicType,1298711673266725588939--int
129871167326--FormalParameter,12987116732620691--start
1298711--MethodDeclaration,129871114474--FormalParameter
129871114474--FormalParameter,12987111447455265--BasicType
12987111447455265--BasicType,1298711144745526545981--int
129871114474--FormalParameter,1298711144745256--end
1298711--MethodDeclaration,129871186631--WhileStatement
129871186631--WhileStatement,12987118663143820--BinaryOperation
12987118663143820--BinaryOperation,1298711866314382010080--<
12987118663143820--BinaryOperation,1298711866314382064440--MemberReference
1298711866314382064440--MemberReference,129871186631438206444070228--start
12987118663143820--BinaryOperation,129871186631438205676--MemberReference
129871186631438205676--MemberReference,12987118663143820567632644--end
129871186631--WhileStatement,12987118663154327--BlockStatement
12987118663154327--BlockStatement,1298711866315432760579--LocalVariableDeclaration
1298711866315432760579--LocalVariableDeclaration,129871186631543276057918273--BasicType
129871186631543276057918273--BasicType,12987118663154327605791827352281--int
1298711866315432760579--LocalVariableDeclaration,129871186631543276057945470--VariableDeclarator
129871186631543276057945470--VariableDeclarator,1298711866315432760579454702142--temp
129871186631543276057945470--VariableDeclarator,12987118663154327605794547026889--MemberReference
12987118663154327605794547026889--MemberReference,1298711866315432760579454702688982013--ArraySelector
1298711866315432760579454702688982013--ArraySelector,129871186631543276057945470268898201359260--MemberReference
129871186631543276057945470268898201359260--MemberReference,12987118663154327605794547026889820135926079088--start
12987118663154327605794547026889--MemberReference,1298711866315432760579454702688910179--arr
12987118663154327--BlockStatement,1298711866315432759517--StatementExpression
1298711866315432759517--StatementExpression,129871186631543275951723677--Assignment
129871186631543275951723677--Assignment,12987118663154327595172367761156--MemberReference
12987118663154327595172367761156--MemberReference,1298711866315432759517236776115663338--ArraySelector
1298711866315432759517236776115663338--ArraySelector,129871186631543275951723677611566333834532--MemberReference
129871186631543275951723677611566333834532--MemberReference,12987118663154327595172367761156633383453291363--start
12987118663154327595172367761156--MemberReference,1298711866315432759517236776115646025--arr
129871186631543275951723677--Assignment,12987118663154327595172367721483--MemberReference
12987118663154327595172367721483--MemberReference,1298711866315432759517236772148387338--ArraySelector
1298711866315432759517236772148387338--ArraySelector,129871186631543275951723677214838733817926--MemberReference
129871186631543275951723677214838733817926--MemberReference,12987118663154327595172367721483873381792643780--end
12987118663154327595172367721483--MemberReference,129871186631543275951723677214836740--arr
129871186631543275951723677--Assignment,12987118663154327595172367797082--=
12987118663154327--BlockStatement,1298711866315432765233--StatementExpression
